Measure Mode: wall_time
Thread ID: 7231880
Fiber ID: 9231460
Total: 0.692615
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.028     0.000     0.000     0.027        9   BasicObject#instance_eval
  0.04      0.001     0.000     0.000     0.001     1143   BasicObject#!=
  0.04      0.000     0.000     0.000     0.000        8   Module#instance_methods
  0.04      0.000     0.000     0.000     0.000      173   URI::Generic#set_userinfo
  0.04      0.000     0.000     0.000     0.000      789   Array#<<
  0.04      0.010     0.000     0.000     0.010      132   BinData::PrimitiveArgProcessor#sanitize_parameters!
  0.04      0.012     0.000     0.000     0.012      189   Gem::Dependency#==
  0.04      0.008     0.000     0.000     0.008      206   BinData::Registry#register_dynamic_class
  0.04      0.000     0.000     0.000     0.000      219   Module#name
  0.04      0.000     0.000     0.000     0.000      244   <Class::Gem::Version>#new
  0.04      0.000     0.000     0.000     0.000       30   Array#-
  0.04      0.000     0.000     0.000     0.000      314   Hash#initialize
  0.04      0.000     0.000     0.000     0.000      452   Array#any?
  0.04      0.008     0.000     0.000     0.007      314   Gem::Requirement#==
  0.04      0.004     0.000     0.000     0.004      228   <Class::Gem::Requirement>#create
  0.04      0.000     0.000     0.000     0.000       71   Module#attr_reader
  0.04      0.215     0.000     0.000     0.215        6  *Kernel#gem_original_require
  0.04      0.001     0.000     0.000     0.001      234   Bundler::Index#<<
  0.04      0.001     0.000     0.000     0.000      173   BinData::SanitizedFields#copy_fields
  0.04      0.001     0.000     0.000     0.001      164   BinData::AcceptedParametersPlugin::AcceptedParameters#optional
  0.03      0.007     0.000     0.000     0.007      125   Gem::Dependency#to_lock
  0.03      0.000     0.000     0.000     0.000      434   URI::Generic#userinfo
  0.03      0.001     0.000     0.000     0.001      234   BinData::StructArgProcessor#sanitize_fields
  0.03      0.003     0.000     0.000     0.003      348   Enumerable#all?
  0.03      0.000     0.000     0.000     0.000      184   BinData::DSLMixin::DSLBigAndLittleEndianHandler#initialize
  0.03      0.000     0.000     0.000     0.000      257   Fixnum#to_s
  0.03      0.007     0.000     0.000     0.006      193   Bundler::LockfileParser#parse_source
  0.03      0.000     0.000     0.000     0.000      171   Module#private
  0.03      0.007     0.000     0.000     0.007      156  *Module#const_get
  0.03      0.007     0.000     0.000     0.007      102   BinData::RecordArgProcessor#sanitize_parameters!
  0.03      0.002     0.000     0.000     0.002       71   Module#include
  0.03      0.001     0.000     0.000     0.000       89   Array#reject
  0.03      0.000     0.000     0.000     0.000       69   Module#extend_object
  0.03      0.000     0.000     0.000     0.000      183   BinData::SanitizedFields#initialize
  0.03      0.000     0.000     0.000     0.000       48   <Class::File>#expand_path
  0.03      0.000     0.000     0.000     0.000      366   Bundler::DepProxy#initialize
  0.03      0.000     0.000     0.000     0.000      184   BinData::DSLMixin::DSLFieldValidator#initialize
  0.03      0.001     0.000     0.000     0.000       58   Gem::Version#<=>
  0.03      0.000     0.000     0.000     0.000      254   Gem::Version#prerelease?
  0.03      0.007     0.000     0.000     0.007      132   BinData::SanitizedParameters#create_sanitized_params
  0.03      0.000     0.000     0.000     0.000      293   Hash#values
  0.03      0.000     0.000     0.000     0.000      836   Fixnum#<
  0.03      0.000     0.000     0.000     0.000      535   Gem::Specification#to_spec
  0.03      0.004     0.000     0.000     0.003       40   <Class::BinData::Primitive>#inherited
  0.03      0.000     0.000     0.000     0.000      214   Kernel#method
  0.03      0.000     0.000     0.000     0.000      180   URI::Generic#default_port
  0.03      0.000     0.000     0.000     0.000      196   <Module::Gem>#platforms
  0.03      0.002     0.000     0.000     0.001      125   Gem::Dependency#to_s
  0.03      0.000     0.000     0.000     0.000      448   Bundler::DepProxy#name
  0.03      0.001     0.000     0.000     0.000       18   Bundler::Dsl#normalize_options
  0.03      0.001     0.000     0.000     0.001      234   BinData::StructArgProcessor#sanitize_hide
  0.03      0.000     0.000     0.000     0.000       92   Module#const_defined?
  0.03      0.000     0.000     0.000     0.000     1140   String#===
  0.02      0.000     0.000     0.000     0.000      554   Fixnum#==
  0.02      0.000     0.000     0.000     0.000      386   Array#uniq!
  0.02      0.000     0.000     0.000     0.000      557   BasicObject#==
  0.02      0.001     0.000     0.000     0.001        2   String#scan
  0.02      0.001     0.000     0.000     0.001       92   Array#select
  0.02      0.000     0.000     0.000     0.000      123   Array#pop
  0.02      0.002     0.000     0.000     0.002      183   BinData::DSLMixin::DSLBigAndLittleEndianHandler#ancestor_fields
  0.02      0.000     0.000     0.000     0.000      173   URI::Generic#split_userinfo
  0.02      0.001     0.000     0.000     0.000       69   Kernel#extend
  0.02      0.000     0.000     0.000     0.000       75   Module#alias_method
  0.02      0.002     0.000     0.000     0.002      147   <Class::Gem::Requirement>#default
  0.02      0.003     0.000     0.000     0.002      169   Bundler::Source::Rubygems#suppress_configured_credentials
  0.02      0.000     0.000     0.000     0.000      333   Array#slice!
  0.02      0.000     0.000     0.000     0.000      157   BinData::SanitizedParameters#create_sanitized_endian
  0.02      0.002     0.000     0.000     0.002       16   <Module::BinData::BitField>#define_methods
  0.02      0.001     0.000     0.000     0.001      156  *Proc#call
  0.02      0.010     0.000     0.000     0.010       83   Bundler::LazySpecification#to_lock
  0.02      0.003     0.000     0.000     0.003      168   Bundler::Source::Rubygems#credless_remotes
  0.02      0.000     0.000     0.000     0.000      171   Method#to_proc
  0.02      0.001     0.000     0.000     0.001      117   Bundler::Index#search_by_spec
  0.02      0.000     0.000     0.000     0.000     1049   Module#==
  0.02      0.001     0.000     0.000     0.001       91   Set#initialize
  0.02      0.000     0.000     0.000     0.000      216   String#+
  0.02      0.001     0.000     0.000     0.001      125   Set#add
  0.02      0.002     0.000     0.000     0.002       36   <Class::BinData::BasePrimitive>#inherited
  0.02      0.004     0.000     0.000     0.003      179  *Kernel#tap
  0.02      0.001     0.000     0.000     0.001       45   BinData::StringArgProcessor#sanitize_parameters!
  0.02      0.000     0.000     0.000     0.000       83   Bundler::LazySpecification#initialize
  0.02      0.001     0.000     0.000     0.001       36   Bundler::Dependency#initialize
  0.02      0.000     0.000     0.000     0.000      405   String#==
  0.02      0.000     0.000     0.000     0.000      115   Hash#keys
  0.02      0.001     0.000     0.000     0.001      105   Gem::Dependency#matches_spec?
  0.02      0.000     0.000     0.000     0.000      195   Gem::Specification#dependencies
  0.02      0.011     0.000     0.000     0.011      140   Bundler::DepProxy#==
  0.02      0.004     0.000     0.000     0.003       10   GLI::DSL#command
  0.02      0.000     0.000     0.000     0.000       45   BinData::StringArgProcessor#sanitized_pad_byte
  0.02      0.000     0.000     0.000     0.000      158   Array#length
  0.02      0.004     0.000     0.000     0.004       85   Bundler::Index#local_search
  0.02      0.000     0.000     0.000     0.000       84   Bundler::RubygemsIntegration#mark_loaded
  0.02      0.000     0.000     0.000     0.000       70   Array#&
  0.02      0.000     0.000     0.000     0.000      169   URI::Generic#password=
  0.02      0.001     0.000     0.000     0.001       60   BinData::Base#new
  0.02      0.000     0.000     0.000     0.000      222   Bundler::MatchPlatform#match_platform
  0.02      0.000     0.000     0.000     0.000      180   <Class::URI::Generic>#default_port
  0.02      0.007     0.000     0.000     0.007       19   BinData::IntFactory#const_missing
  0.02      0.000     0.000     0.000     0.000      344   BinData::BaseArgProcessor#sanitize_parameters!
  0.02      0.000     0.000     0.000     0.000      195   <Class::Gem::Platform>#match
  0.01      0.000     0.000     0.000     0.000      169   BinData::DSLMixin::DSLParser#valid_endian?
  0.01      0.001     0.000     0.000     0.000      108   GLI::DSL#verify_unused_in_option
  0.01      0.000     0.000     0.000     0.000       85   String#to_sym
  0.01      0.000     0.000     0.000     0.000       31   BinData::BaseArgProcessor#separate_args
  0.01      0.001     0.000     0.000     0.001       91   Set#merge
  0.01      0.000     0.000     0.000     0.000       30   Module#module_function
  0.01      0.042     0.000     0.000     0.042      333  *Bundler::SpecSet#tsort_each_child
  0.01      0.000     0.000     0.000     0.000      148   BinData::SanitizedParameters#endian
  0.01      0.006     0.000     0.000     0.005       85  *Bundler::Index#search
  0.01      0.005     0.000     0.000     0.005        8   Pio::OpenFlow::Flags#_def_flags
  0.01      0.000     0.000     0.000     0.000      353   Array#compact!
  0.01      0.000     0.000     0.000     0.000      168   Gem::Specification#executables
  0.01      0.001     0.000     0.000     0.001      169   URI::Generic#user=
  0.01      0.000     0.000     0.000     0.000       27   Range#each
  0.01      0.000     0.000     0.000     0.000       31   Exception#initialize
  0.01      0.000     0.000     0.000     0.000       73   <Class::GLI::CommandLineOption>#name_as_string
  0.01      0.000     0.000     0.000     0.000      192  *Array#==
  0.01      0.000     0.000     0.000     0.000        4   Module#remove_method
  0.01      0.000     0.000     0.000     0.000       47   <Class::File>#basename
  0.01      0.004     0.000     0.000     0.004       16   <Module::BinData::BitField>#define_class
  0.01      0.010     0.000     0.000     0.010       83   Bundler::LazySpecification#__materialize__
  0.01      0.000     0.000     0.000     0.000       51   Hash#merge
  0.01      0.003     0.000     0.000     0.003        9   <Module::BinData::Int>#define_methods
  0.01      0.000     0.000     0.000     0.000      108   OptionParser::List#search
  0.01      0.001     0.000     0.000     0.001       91   Set#do_with_enum
  0.01      0.002     0.000     0.000     0.002       10   BinData::ArrayArgProcessor#sanitize_parameters!
  0.01      0.000     0.000     0.000     0.000       12   <Module::BinData::BitField>#create_fixed_clamp_code
  0.01      0.000     0.000     0.000     0.000      118   <Class::Bundler::StubSpecification>#from_stub
  0.01      0.001     0.000     0.000     0.001       57   <Class::Pio::OpenFlow::Message>#body_option
  0.01      0.000     0.000     0.000     0.000      111   Array#<=>
  0.01      0.000     0.000     0.000     0.000       90   Gem::BasicSpecification#full_require_paths
  0.01      0.001     0.000     0.000     0.001        4   URI::HTTP#initialize
  0.01      0.000     0.000     0.000     0.000      132   Fixnum#<<
  0.01      0.000     0.000     0.000     0.000       12   GLI::Command#initialize
  0.01      0.000     0.000     0.000     0.000      169   URI::Generic#set_user
  0.01      0.000     0.000     0.000     0.000       83   Bundler::LazySpecification#full_name
  0.01      0.001     0.000     0.000     0.001      141   Gem::Requirement#satisfied_by?
  0.01      0.000     0.000     0.000     0.000       92   BinData::BasePrimitive#method_missing
  0.01      0.000     0.000     0.000     0.000      118   Bundler::RemoteSpecification#initialize
  0.01      0.000     0.000     0.000     0.000       44   Module#extended
  0.01      0.000     0.000     0.000     0.000       44   Pathname#chop_basename
  0.01      0.000     0.000     0.000     0.000       54   String#upcase
  0.01      0.000     0.000     0.000     0.000      118   Hash#merge!
  0.01      0.000     0.000     0.000     0.000        9   <Module::BinData::Int>#create_to_binary_s_code
  0.01      0.000     0.000     0.000     0.000       55   Symbol#to_proc
  0.01      0.000     0.000     0.000     0.000        8   Hash#inspect
  0.01      0.000     0.000     0.000     0.000      166   Kernel#kind_of?
  0.01      0.001     0.000     0.000     0.001       18   <Module::BinData::Int>#create_clamp_code
  0.01      0.000     0.000     0.000     0.000      271   Fixnum#>
  0.01      0.000     0.000     0.000     0.000       72   <Object::BinData::Struct>#flags
  0.01      0.000     0.000     0.000     0.000       33   Exception#backtrace
  0.01      0.002     0.000     0.000     0.002       23   GLI::DSL#flag
  0.01      0.000     0.000     0.000     0.000      169   URI::Generic#check_password
  0.01      0.001     0.000     0.000     0.001       42   GLI::CommandLineToken#parse_names
  0.01      0.000     0.000     0.000     0.000      169   BinData::DSLMixin::DSLParser#has_fields?
  0.01      0.000     0.000     0.000     0.000      191   BinData::Base#has_parameter?
  0.01      0.000     0.000     0.000     0.000      174   Kernel#Array
  0.01      0.000     0.000     0.000     0.000      116   Gem::Version#segments
  0.01      0.000     0.000     0.000     0.000       45   <Object::Object>#[]
  0.01      0.000     0.000     0.000     0.000       85   Gem::Specification#loaded_from
  0.01      0.000     0.000     0.000     0.000      169   URI::Generic#check_user
  0.01      0.000     0.000     0.000     0.000       27   Module#define_method
  0.01      0.000     0.000     0.000     0.000       33   Exception#exception
  0.01      0.000     0.000     0.000     0.000      271   Array#[]
  0.01      0.000     0.000     0.000     0.000        1   <Object::Object>#keys
  0.01      0.000     0.000     0.000     0.000       84   Bundler::RubygemsIntegration#loaded_specs
  0.01      0.000     0.000     0.000     0.000       16   <Module::BinData::Int>#pack_directive
  0.01      0.003     0.000     0.000     0.003       60   BinData::SanitizedPrototype#instantiate
  0.01      0.000     0.000     0.000     0.000       83   Bundler::SourceList#source_list_for
  0.01      0.000     0.000     0.000     0.000      169   URI::Generic#set_password
  0.01      0.001     0.000     0.000     0.001       23   GLI::Flag#initialize
  0.01      0.000     0.000     0.000     0.000       10   String#match
  0.01      0.000     0.000     0.000     0.000      124   Regexp#hash
  0.01      0.000     0.000     0.000     0.000       12   Float#to_s
  0.01      0.000     0.000     0.000     0.000      105   Gem::Requirement#none?
  0.01      0.003     0.000     0.000     0.003       84   Bundler::Source::Rubygems#eql?
  0.01      0.001     0.000     0.000     0.001       83   Bundler::LazySpecification#identifier
  0.01      0.000     0.000     0.000     0.000       25   BinData::Struct#define_field_accessors_for
  0.01      0.000     0.000     0.000     0.000      106   Array#reverse
  0.01      0.000     0.000     0.000     0.000       15   <Class::File>#join
  0.01      0.001     0.000     0.000     0.001       42   GLI::CommandLineToken#initialize
  0.01      0.000     0.000     0.000     0.000      123   String#strip
  0.01      0.000     0.000     0.000     0.000       55   BinData::SanitizedParameters#must_be_integer
  0.01      0.000     0.000     0.000     0.000       30   GLI::DSL#extract_options
  0.01      0.044     0.000     0.000     0.044       10   <Module::TSort>#tsort_each
  0.01      0.000     0.000     0.000     0.000       24   Hash#invert
  0.01      0.001     0.000     0.000     0.001       89   URI::Generic#hash
  0.01      0.000     0.000     0.000     0.000       64   <Module::BinData::BitField>#create_nbits_code
  0.01      0.000     0.000     0.000     0.000       85   Bundler::Index#specs_by_name
  0.01      0.000     0.000     0.000     0.000       85   Array#reject!
  0.01      0.000     0.000     0.000     0.000        6   Pathname#plus
  0.01      0.001     0.000     0.000     0.001       91   Enumerable#each_entry
  0.01      0.000     0.000     0.000     0.000       93   URI::Generic#component_ary
  0.01      0.002     0.000     0.000     0.002       40   BinData::Struct#instantiate_obj_at
  0.01      0.000     0.000     0.000     0.000       60   Kernel#clone
  0.01      0.000     0.000     0.000     0.000      168   Fixnum#zero?
